"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.092963233E1,6.223432119E1,2.580138069E1,7.975219847E1,1.490000010E0,1.623000031E2,3.790092468E0,2.500000000E0
4.192990243E1,6.223430854E1,2.580139002E1,7.997435967E1,1.409999967E0,1.586000061E2,3.790092468E0,2.500000000E0
4.293042108E1,6.223429582E1,2.580140074E1,8.013652338E1,1.490000010E0,1.588999939E2,3.790092468E0,2.500000000E0
4.393000358E1,6.223428328E1,2.580141028E1,8.034476864E1,1.460000038E0,1.581999969E2,3.790092468E0,2.500000000E0
4.493029545E1,6.223427103E1,2.580142212E1,8.008493563E1,1.429999948E0,1.585000000E2,3.790092468E0,2.500000000E0
4.592979389E1,6.223425791E1,2.580143214E1,8.007461370E1,1.480000019E0,1.603999939E2,3.790092468E0,2.500000000E0
4.693032279E1,6.223424429E1,2.580144015E1,8.019856868E1,1.460000038E0,1.605000000E2,3.790092468E0,2.500000000E0
4.792960795E1,6.223423036E1,2.580144909E1,8.024513096E1,1.500000000E0,1.588000031E2,3.790092468E0,2.500000000E0
4.892977649E1,6.223421611E1,2.580145797E1,8.013458856E1,1.509999990E0,1.623999939E2,3.790092468E0,2.500000000E0
4.993046956E1,6.223420356E1,2.580146680E1,8.007238699E1,1.470000029E0,1.603000031E2,3.790092468E0,2.500000000E0
5.093032722E1,6.223419045E1,2.580147476E1,8.028490428E1,1.509999990E0,1.606000061E2,3.790092468E0,2.500000000E0
5.193015128E1,6.223417608E1,2.580148110E1,8.042771856E1,1.600000024E0,1.638000031E2,3.790092468E0,2.500000000E0
5.292976331E1,6.223416261E1,2.580148882E1,8.051578493E1,1.559999943E0,1.613000031E2,3.790092468E0,2.500000000E0
5.392959071E1,6.223414958E1,2.580149657E1,8.036062647E1,1.539999962E0,1.603999939E2,3.790092468E0,2.500000000E0
5.493041826E1,6.223413676E1,2.580150417E1,8.056209654E1,1.539999962E0,1.631000061E2,3.790092468E0,2.500000000E0
5.593032352E1,6.223412429E1,2.580151083E1,8.059437729E1,1.490000010E0,1.626000061E2,3.790092468E0,2.500000000E0
5.692978373E1,6.223411126E1,2.580152068E1,8.068891380E1,1.539999962E0,1.585000000E2,3.790092468E0,2.500000000E0
5.792964347E1,6.223409893E1,2.580153423E1,8.073950566E1,1.519999981E0,1.526999969E2,3.790092468E0,2.500000000E0
5.893008664E1,6.223408865E1,2.580155243E1,8.055261126E1,1.549999952E0,1.438999939E2,3.790092468E0,2.500000000E0
5.992989399E1,6.223408080E1,2.580157563E1,8.053087977E1,1.509999990E0,1.328999939E2,3.790092468E0,2.500000000E0
6.092963815E1,6.223407626E1,2.580160529E1,8.018371123E1,1.539999962E0,1.150999985E2,3.790092468E0,2.500000000E0
6.193034737E1,6.223407636E1,2.580163788E1,8.016320576E1,1.600000024E0,9.090000153E1,3.790092468E0,2.500000000E0
6.293027769E1,6.223408145E1,2.580166844E1,7.995001509E1,1.590000033E0,7.550000000E1,3.790092468E0,2.500000000E0
6.392963805E1,6.223408720E1,2.580169758E1,7.975568457E1,1.590000033E0,7.209999847E1,3.790092468E0,2.500000000E0
6.493036518E1,6.223409374E1,2.580172747E1,7.975318806E1,1.590000033E0,7.230000305E1,3.790092468E0,2.500000000E0
6.592981076E1,6.223410046E1,2.580175520E1,7.956380186E1,1.600000024E0,7.140000153E1,3.790092468E0,2.500000000E0
