"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.709735010E-1,-1.563014984E-1,3.539676666E-1,-1.752996445E-1
3.759735010E-1,-1.418954134E-1,3.818221092E-1,-2.821903229E-1
3.809735010E-1,-1.046705246E-1,3.867650032E-1,-3.566741943E-1
3.859735010E-1,-6.083202362E-2,3.844203949E-1,-4.126715660E-1
3.909735010E-1,1.834785938E-2,3.627948761E-1,-4.220228195E-1
3.959735010E-1,3.603625298E-2,3.407988548E-1,-3.589930534E-1
4.009735010E-1,6.347119808E-2,2.962322235E-1,-2.763385773E-1
4.059735010E-1,4.874730110E-2,2.669849396E-1,-1.754093170E-1
4.109735010E-1,5.516648293E-2,2.503108978E-1,-1.101317406E-1
4.159735010E-1,8.218836784E-2,2.136168480E-1,-6.988334656E-2
4.209735010E-1,8.894300461E-2,1.752066612E-1,-3.501939774E-2
4.259735010E-1,1.133697033E-1,1.688752174E-1,2.185058594E-2
4.309735010E-1,1.493673325E-1,1.220154762E-1,8.753252029E-2
4.359735010E-1,1.849927902E-1,6.977224350E-2,1.679706573E-1
4.409735010E-1,2.267170548E-1,3.249311447E-2,2.445244789E-1
4.459735010E-1,2.673881054E-1,7.689952850E-3,2.984371185E-1
4.509735010E-1,2.788263559E-1,-3.811836243E-3,3.434729576E-1
4.559735010E-1,2.872757316E-1,-6.112575531E-3,3.612217903E-1
4.609735010E-1,3.188420534E-1,-1.747608185E-3,3.387179375E-1
4.659735010E-1,3.463186026E-1,1.647996902E-2,2.574558258E-1
4.709735010E-1,3.302299976E-1,2.788448334E-2,1.842255592E-1
4.759735010E-1,3.263368011E-1,2.280378342E-2,4.837322235E-2
4.809735010E-1,3.525459170E-1,2.480125427E-2,-9.813499451E-2
4.859735010E-1,3.831726909E-1,1.951408386E-2,-2.437763214E-1
4.909735010E-1,4.275028110E-1,4.205703735E-4,-3.636512756E-1
4.959735010E-1,4.682836831E-1,-3.015756607E-2,-4.528627396E-1
5.009735010E-1,4.897597730E-1,-6.291151047E-2,-4.928064346E-1
5.059735010E-1,4.821082652E-1,-8.663415909E-2,-4.991431236E-1
5.109735010E-1,4.852796793E-1,-1.256422997E-1,-4.801225662E-1
5.159735010E-1,4.857905805E-1,-1.478753090E-1,-4.448709488E-1
5.209735010E-1,4.832395017E-1,-1.768803596E-1,-3.918662071E-1
5.259735010E-1,5.100088120E-1,-2.156391144E-1,-3.179678917E-1
5.309735010E-1,4.631475508E-1,-2.108459473E-1,-2.430844307E-1
5.359735010E-1,3.911797106E-1,-2.048664093E-1,-1.913270950E-1
5.409735010E-1,2.813131809E-1,-1.848478317E-1,-1.862812042E-1
5.459735010E-1,1.590864062E-1,-1.513109207E-1,-1.681675911E-1
5.509735010E-1,5.729585886E-2,-1.000118256E-1,-1.962018013E-1
5.559735010E-1,-4.240274429E-4,-7.084560394E-2,-1.971840858E-1
5.609735010E-1,-2.495700121E-2,-4.724693298E-2,-2.746558189E-1
5.659735010E-1,8.242487907E-3,-3.093624115E-2,-3.573417664E-1
5.709735010E-1,3.046327829E-2,-3.342628479E-3,-4.385123253E-1
5.759735010E-1,6.678706408E-2,1.934671402E-2,-5.137443542E-1
5.809735010E-1,1.123003364E-1,3.724813461E-2,-5.537643433E-1
5.859735010E-1,1.829524636E-1,4.486274719E-2,-5.413527489E-1
5.909735010E-1,2.920542955E-1,2.536439896E-2,-5.171747208E-1
5.959735010E-1,3.790216148E-1,6.985664368E-4,-5.065841675E-1
6.009735010E-1,4.367577136E-1,-1.484918594E-2,-5.327506065E-1
6.059735010E-1,4.762277007E-1,-3.862714767E-2,-5.033464432E-1
6.109735010E-1,5.395849347E-1,-6.656551361E-2,-4.546661377E-1
6.159735010E-1,6.123657227E-1,-1.000819206E-1,-3.694334030E-1
6.209735010E-1,6.346999407E-1,-1.180262566E-1,-2.918076515E-1
6.259735010E-1,5.812003016E-1,-1.249356270E-1,-1.826710701E-1
6.309735010E-1,4.951488376E-1,-9.952211380E-2,-7.971715927E-2
6.359735010E-1,3.853187561E-1,-5.801486969E-2,2.144765854E-2
6.409735010E-1,2.609185576E-1,4.331588745E-3,9.543514252E-2
6.459735010E-1,1.036084294E-1,4.844427109E-2,1.817541122E-1
6.509735010E-1,-2.880591154E-2,1.054649353E-1,2.679586411E-1
6.559735010E-1,-1.229884624E-1,1.629629135E-1,3.365793228E-1
6.609735010E-1,-1.909981370E-1,1.787533760E-1,4.284844398E-1
6.659735010E-1,-1.863685250E-1,1.859006882E-1,4.121680260E-1
6.709735010E-1,-1.316715479E-1,1.926479340E-1,3.903288841E-1
6.759735010E-1,-5.772954226E-2,2.030992508E-1,3.139944077E-1
6.809735010E-1,9.254336357E-3,1.924047470E-1,1.722650528E-1
6.859735010E-1,6.939077377E-2,1.782131195E-1,-1.739549637E-2
6.909735010E-1,1.242409945E-1,1.498212814E-1,-1.806387901E-1
6.959735010E-1,1.814814806E-1,1.278777122E-1,-3.101167679E-1
7.009735010E-1,2.096235454E-1,1.270270348E-1,-4.155521393E-1
7.059735010E-1,1.808025241E-1,1.454234123E-1,-4.568104744E-1
7.109735010E-1,1.184076071E-1,1.598248482E-1,-4.640436172E-1
7.159735010E-1,7.032799721E-2,1.535863876E-1,-4.207143784E-1
7.209735010E-1,2.950990200E-2,1.277017593E-1,-4.034099579E-1
7.259735010E-1,3.611505032E-3,1.241016388E-1,-3.665351868E-1
7.309735010E-1,-3.662079573E-2,1.370024681E-1,-3.534417152E-1
7.359735010E-1,-9.926700592E-2,1.333808899E-1,-3.164391518E-1
7.409735010E-1,-1.253950596E-1,1.242051125E-1,-2.433600426E-1
7.459735010E-1,-1.160758138E-1,1.112856865E-1,-1.479535103E-1
7.509735010E-1,-9.189432859E-2,8.007621765E-2,-4.403877258E-2
7.559735010E-1,-6.140637398E-2,4.687118530E-2,3.905820847E-2
7.609735010E-1,-2.763831615E-2,1.404285431E-2,9.671783447E-2
7.659735010E-1,1.343256235E-2,-1.969861984E-2,1.241140366E-1
7.709735010E-1,9.266781807E-2,-6.512832642E-2,1.551632881E-1
7.759735010E-1,2.160877287E-1,-1.043500900E-1,1.772980690E-1
7.809735010E-1,3.399372697E-1,-1.481161118E-1,1.496930122E-1
7.859735010E-1,4.421317577E-1,-1.735782623E-1,1.117687225E-1
7.909735010E-1,5.070049763E-1,-1.674251556E-1,6.032752991E-2
7.959735010E-1,4.968577921E-1,-1.508555412E-1,-1.169347763E-2
8.009735010E-1,4.598976970E-1,-1.570377350E-1,-1.001768112E-1
8.059735010E-1,3.674258590E-1,-1.625957489E-1,-1.586127281E-1
8.109735010E-1,2.625426948E-1,-1.208119392E-1,-1.878042221E-1
8.159735010E-1,1.438372433E-1,-4.895067215E-2,-2.086834908E-1
8.209735010E-1,2.828645706E-2,4.259109497E-2,-2.463130951E-1
8.259735010E-1,-3.655654192E-2,1.250252724E-1,-3.055925369E-1
8.309735010E-1,-1.083537936E-1,1.690225601E-1,-3.710622787E-1
8.359735010E-1,-1.254186630E-1,1.872029305E-1,-4.350380898E-1
8.409735010E-1,-1.468910575E-1,2.034430504E-1,-4.908857346E-1
8.459735010E-1,-1.382161379E-1,1.958961487E-1,-5.362567902E-1
8.509735010E-1,-1.352144480E-1,1.993403435E-1,-5.669956207E-1
8.559735010E-1,-1.432048082E-1,1.902232170E-1,-6.050195694E-1
8.609735010E-1,-1.214861274E-1,1.676936150E-1,-6.236181259E-1
8.659735010E-1,-1.074429750E-1,1.635484695E-1,-6.438364983E-1
8.709735010E-1,-7.624334097E-2,1.695466042E-1,-6.518759727E-1
8.759735010E-1,-5.697369576E-2,1.809306145E-1,-6.039357185E-1
8.809735010E-1,-6.748348475E-2,1.815161705E-1,-5.005798340E-1
8.859735010E-1,-1.002453566E-1,1.709022522E-1,-3.424854279E-1
8.909735010E-1,-1.502258182E-1,1.398587227E-1,-2.030043602E-1
8.959735010E-1,-1.676940322E-1,1.081547737E-1,-7.022857666E-2
9.009735010E-1,-1.252392530E-1,8.941888809E-2,2.283668518E-2
9.059735010E-1,-8.434563875E-2,9.594821930E-2,1.030964851E-1
9.109735010E-1,-4.558044672E-2,1.011681557E-1,1.635222435E-1
9.159735010E-1,-6.376063824E-2,9.889650345E-2,2.224593163E-1
9.209735010E-1,-6.256079674E-2,9.064054489E-2,2.467517853E-1
9.259735010E-1,-4.642879963E-2,8.363342285E-2,2.586784363E-1
9.309735010E-1,-4.547691345E-2,7.303953171E-2,2.365951538E-1
9.359735010E-1,-9.306669235E-2,7.262754440E-2,2.181506157E-1
9.409735010E-1,-1.344826221E-1,7.463502884E-2,1.987409592E-1
9.459735010E-1,-1.632112265E-1,8.854722977E-2,1.371641159E-1
9.509735010E-1,-1.627169847E-1,1.039795876E-1,8.154249191E-2
9.559735010E-1,-1.637144089E-1,1.068224907E-1,2.240324020E-2
9.609735010E-1,-1.541926861E-1,1.132159233E-1,-1.876449585E-2
9.659735010E-1,-1.339743137E-1,1.083903313E-1,-8.827161789E-2
9.709735010E-1,-1.150527596E-1,1.033649445E-1,-1.671338081E-1
9.759735010E-1,-1.061052680E-1,1.130533218E-1,-1.860904694E-1
9.809735010E-1,-9.099614620E-2,1.148123741E-1,-1.764569283E-1
9.859735010E-1,-1.053672433E-1,1.032505035E-1,-1.617755890E-1
9.909735010E-1,-1.080921888E-1,9.202194214E-2,-1.314325333E-1
9.959735010E-1,-8.831262589E-2,1.101880074E-1,-8.343267441E-2
1.000973501E0,-6.793785095E-2,1.033506393E-1,-8.287668228E-2
1.005973501E0,-7.758218050E-2,7.497644424E-2,-6.297254562E-2
1.010973501E0,-7.330995798E-2,3.776788712E-2,2.283096313E-2
1.015973501E0,-6.587743759E-2,2.071762085E-2,1.200890541E-1
1.020973501E0,-4.192274809E-2,2.711677551E-2,1.822786331E-1
1.025973501E0,-3.787100315E-2,2.445030212E-2,2.052087784E-1
1.030973501E0,-6.702268124E-2,1.954746246E-2,2.221279144E-1
1.035973501E0,-9.479528666E-2,-1.456308365E-2,2.268843651E-1
1.040973501E0,-5.870324373E-2,-1.909112930E-2,2.274322510E-1
1.045973501E0,4.521727562E-3,3.843784332E-3,1.831946373E-1
1.050973501E0,5.829638243E-2,1.131725311E-2,1.167101860E-1
1.055973501E0,6.928405166E-2,3.030776978E-2,-1.003456116E-2
1.060973501E0,6.062209606E-2,6.184053421E-2,-1.487360001E-1
1.065973501E0,2.280220389E-2,6.470298767E-2,-3.118486404E-1
1.070973501E0,-2.994692326E-2,7.048988342E-2,-3.899126053E-1
1.075973501E0,-6.479048729E-2,1.162199974E-1,-4.114890099E-1
1.080973501E0,-1.262942553E-1,1.577153206E-1,-4.235081673E-1
1.085973501E0,-2.212903500E-1,1.893424988E-1,-4.375791550E-1
1.090973501E0,-2.839269638E-1,2.030820847E-1,-4.441208839E-1
1.095973501E0,-2.792582512E-1,2.049551010E-1,-4.119634628E-1
1.100973501E0,-2.333622575E-1,1.810069084E-1,-3.619618416E-1
1.105973501E0,-1.773434877E-1,1.350665092E-1,-2.901601791E-1
1.110973501E0,-1.056571603E-1,1.021318436E-1,-2.596077919E-1
1.115973501E0,-2.759552002E-2,4.199934006E-2,-2.024755478E-1
1.120973501E0,1.210081577E-2,-5.439758301E-3,-1.318006516E-1
1.125973501E0,1.061040163E-2,-2.759552002E-2,-6.417179108E-2
1.130973501E0,1.703873277E-2,-3.504180908E-2,4.763412476E-2
1.135973501E0,2.683493495E-2,-3.919124603E-2,1.189203262E-1
1.140973501E0,3.222706914E-2,-4.516077042E-2,1.424803734E-1
1.145973501E0,2.546557784E-2,-5.989885330E-2,1.438584328E-1
1.150973501E0,4.875564575E-2,-5.462932587E-2,1.115927696E-1
1.155973501E0,6.873440742E-2,-4.589414597E-2,6.332159042E-2
1.160973501E0,7.825794816E-2,-4.715061188E-2,1.858377457E-2
1.165973501E0,5.682504177E-2,-5.669307709E-2,-1.389980316E-3
1.170973501E0,5.334252119E-2,-5.132913589E-2,-3.664493561E-2
1.175973501E0,5.432987213E-2,-8.703708649E-3,-6.042861938E-2
1.180973501E0,3.424826264E-2,1.617431641E-2,-9.120655060E-2
1.185973501E0,-1.136046648E-2,1.681947708E-2,-1.108198166E-1
1.190973501E0,-6.658434868E-2,3.882312775E-2,-1.335105896E-1
1.195973501E0,-9.424415231E-2,8.521652222E-2,-1.683130264E-1
1.200973501E0,-1.367437243E-1,1.515645981E-1,-2.099685669E-1
1.205973501E0,-2.025098205E-1,1.602854729E-1,-2.314157486E-1
1.210973501E0,-2.271463275E-1,1.751689911E-1,-2.503094673E-1
1.215973501E0,-2.104916573E-1,1.850318909E-1,-2.429714203E-1
1.220973501E0,-2.140182257E-1,1.791839600E-1,-2.262153625E-1
1.225973501E0,-2.048388720E-1,1.645340919E-1,-2.073245049E-1
1.230973501E0,-1.782932878E-1,1.480541229E-1,-1.688156128E-1
1.235973501E0,-1.368764639E-1,1.364684105E-1,-1.332974434E-1
1.240973501E0,-1.014598012E-1,1.283340454E-1,-1.338658333E-1
1.245973501E0,-9.747338295E-2,9.341096878E-2,-5.928707123E-2
1.250973501E0,-9.222483635E-2,6.733703613E-2,-2.780008316E-2
1.255973501E0,-7.909625769E-2,5.722093582E-2,3.346443176E-3
1.260973501E0,-7.234698534E-2,5.439519882E-2,4.737424850E-2
1.265973501E0,-3.990072012E-2,5.321979523E-2,8.351993561E-2
1.270973501E0,-2.625697851E-2,5.491542816E-2,1.041860580E-1
1.275973501E0,-2.904599905E-2,4.157924652E-2,1.314435005E-1
1.280973501E0,-4.165470600E-3,4.177951813E-2,1.285853386E-1
1.285973501E0,-4.275739193E-3,5.619239807E-2,9.937095642E-2
1.290973501E0,-1.812672615E-2,8.490180969E-2,6.671762466E-2
1.295973501E0,-2.151176333E-2,1.066703796E-1,5.914878845E-2
1.300973501E0,-6.599545479E-3,1.140389442E-1,5.685567856E-2
1.305973501E0,3.097838163E-2,1.242256165E-1,2.058029175E-2
1.310973501E0,4.613593221E-2,1.057705879E-1,-8.159160614E-3
1.315973501E0,4.304465652E-2,7.810688019E-2,-3.200674057E-2
1.320973501E0,4.269698262E-2,5.569553375E-2,-3.044986725E-2
1.325973501E0,4.028472304E-2,4.412937164E-2,-1.234006882E-2
1.330973501E0,6.906986237E-4,3.563928604E-2,-3.643035889E-4
1.335973501E0,-8.041113615E-2,4.127502441E-2,-3.762912750E-2
1.340973501E0,-1.702563465E-1,5.340766907E-2,-4.848003387E-2
1.345973501E0,-2.194325626E-1,7.815980911E-2,-7.427835464E-2
1.350973501E0,-2.552435398E-1,7.526397705E-2,-3.621101379E-2
1.355973501E0,-2.758644521E-1,7.676887512E-2,-3.121614456E-2
1.360973501E0,-2.782798409E-1,7.202625275E-2,-4.466581345E-2
1.365973501E0,-2.663625777E-1,7.294225693E-2,-1.109504700E-1
1.370973501E0,-2.388057113E-1,8.117818832E-2,-1.557936668E-1
1.375973501E0,-1.869605184E-1,4.834699631E-2,-2.315330505E-1
1.380973501E0,-9.981089830E-2,3.889274597E-2,-2.247872353E-1
1.385973501E0,-1.366183162E-2,-7.746696472E-3,-2.490916252E-1
1.390973501E0,4.880324006E-2,-1.009941101E-2,-2.837791443E-1
1.395973501E0,9.449204803E-2,3.070831299E-3,-2.999768257E-1
1.400973501E0,1.191180944E-1,1.293897629E-2,-3.017568588E-1
1.405973501E0,1.053885221E-1,3.387403488E-2,-2.681770325E-1
1.410973501E0,7.950752974E-2,3.052616119E-2,-2.133784294E-1
1.415973501E0,2.944025397E-2,3.983831406E-2,-1.549344063E-1
1.420973501E0,-4.065477848E-2,7.459592819E-2,-1.125707626E-1
1.425973501E0,-1.251790226E-1,9.502553940E-2,-1.107325554E-1
1.430973501E0,-2.070040703E-1,1.188492775E-1,-9.389877319E-2
1.435973501E0,-2.450437844E-1,1.200089455E-1,-7.727670670E-2
1.440973501E0,-1.937416494E-1,1.156964302E-1,-4.737234116E-2
1.445973501E0,-1.225733757E-1,1.014652252E-1,1.580524445E-2
1.450973501E0,-8.667126298E-2,5.770683289E-2,6.943368912E-2
1.455973501E0,-5.395135283E-2,2.529573441E-2,1.064419746E-1
1.460973501E0,-1.237213612E-2,1.315307617E-2,1.281089783E-1
1.465973501E0,2.351862192E-2,-1.624584198E-3,1.419477463E-1
1.470973501E0,3.526303172E-2,6.155967712E-4,1.259536743E-1
1.475973501E0,3.028199077E-2,2.321767807E-2,1.342258453E-1
1.480973501E0,4.828405380E-2,5.868816376E-2,8.840799332E-2
1.485973501E0,7.286542654E-2,5.807685852E-2,4.634666443E-2
1.490973501E0,7.507991791E-2,7.569694519E-2,-1.309156418E-2
1.495973501E0,8.965316415E-2,7.779741287E-2,-8.226060867E-2
1.500973501E0,9.426471591E-2,8.746433258E-2,-1.091008186E-1
1.505973501E0,5.230697989E-2,1.040177345E-1,-1.474781036E-1
1.510973501E0,-3.448277712E-2,1.434774399E-1,-1.585030556E-1
1.515973501E0,-5.061054230E-2,1.488523483E-1,-1.440463066E-1
1.520973501E0,-3.672793508E-2,1.543030739E-1,-1.131381989E-1
1.525973501E0,-2.795892954E-2,1.598343849E-1,-7.029342651E-2
1.530973501E0,-4.048639536E-2,1.495513916E-1,-2.195692062E-2
1.535973501E0,-3.809928894E-2,1.320261955E-1,3.360939026E-2
1.540973501E0,-6.455019116E-2,1.024918556E-1,8.268928528E-2
1.545973501E0,-4.089117050E-2,9.965133667E-2,1.179542542E-1
1.550973501E0,-2.069455385E-2,7.688283920E-2,1.452875137E-1
1.555973501E0,-1.457095146E-3,5.714511871E-2,1.693115234E-1
1.560973501E0,1.726183295E-2,3.040122986E-2,1.563506126E-1
1.565973501E0,4.932698607E-2,2.844953537E-2,1.199579239E-1
1.570973501E0,6.012433767E-2,1.483392715E-2,6.748485565E-2
1.575973501E0,5.851706862E-2,1.323843002E-2,3.488159180E-2
1.580973501E0,8.411756158E-2,2.206611633E-2,3.402233124E-2
1.585973501E0,1.108077765E-1,3.813076019E-2,6.628131866E-2
1.590973501E0,9.841060638E-2,3.363084793E-2,6.165361404E-2
1.595973501E0,5.712234974E-2,2.061986923E-2,4.658412933E-2
1.600973501E0,3.894460201E-2,1.007938385E-2,5.189514160E-2
1.605973501E0,2.410811186E-2,4.312038422E-2,4.605579376E-2
1.610973501E0,2.472707629E-2,2.350997925E-2,6.277036667E-2
1.615973501E0,1.490792632E-2,5.370616913E-3,4.870033264E-2
1.620973501E0,3.248757124E-2,9.078979492E-4,-1.110649109E-2
1.625973501E0,-3.586232662E-3,-1.310682297E-2,-9.098339081E-2
1.630973501E0,-4.278600216E-2,-2.372550964E-2,-1.771287918E-1
1.635973501E0,-5.086010695E-2,-4.926204681E-3,-2.065196037E-1
1.640973501E0,-5.044245720E-2,6.477355957E-3,-2.019605637E-1
1.645973501E0,-4.685527086E-2,1.198196411E-2,-1.796975136E-1
1.650973501E0,-5.012491345E-2,7.283210754E-3,-1.452441216E-1
1.655973501E0,-2.636861801E-2,-7.424354553E-4,-1.100964546E-1
1.660973501E0,-1.433554292E-2,-1.636028290E-3,-7.797145844E-2
1.665973501E0,3.682971001E-4,1.459121704E-4,-7.735919952E-2
1.670973501E0,-1.363515854E-3,5.649089813E-3,-5.159950256E-2
1.675973501E0,1.884719729E-2,-2.730226517E-2,1.475381851E-2
1.680973501E0,3.656139970E-2,-3.701925278E-2,4.965925217E-2
1.685973501E0,7.732859254E-2,-3.404378891E-2,5.375432968E-2
1.690973501E0,9.423428774E-2,-3.056240082E-2,6.614542007E-2
1.695973501E0,1.048707366E-1,-2.664089203E-2,5.857753754E-2
1.700973501E0,1.026996672E-1,-3.051519394E-2,5.033969879E-2
1.705973501E0,9.407833219E-2,-2.946710587E-2,2.201986313E-2
1.710973501E0,8.101129532E-2,-8.615016937E-3,2.129077911E-3
1.715973501E0,1.104626060E-2,2.558803558E-2,1.999855042E-3
1.720973501E0,-3.411343694E-2,6.689834595E-2,-2.341508865E-2
1.725973501E0,-7.204380631E-2,1.198601723E-1,-3.172731400E-2
1.730973501E0,-9.087976813E-2,1.680583954E-1,-6.705522537E-2
1.735973501E0,-9.099501371E-2,1.876573563E-1,-1.086707115E-1
1.740973501E0,-1.256090701E-1,1.845412254E-1,-1.416983604E-1
1.745973501E0,-1.576058865E-1,1.866116524E-1,-1.771531105E-1
1.750973501E0,-1.610452235E-1,1.539888382E-1,-1.538605690E-1
1.755973501E0,-1.334981918E-1,1.370897293E-1,-1.086668968E-1
1.760973501E0,-9.743726254E-2,1.189336777E-1,-8.742237091E-2
